id,text,preprocessed,sentiment
1435695088110350345,"@michellebarouki Minha mãe votou no Bolsonaro. Desembarcou no inicio da pandemia e agora vai nas manifestações contra. Eu sei quais foram os motivos que levaram ela a votar no Bolsonaro (não concordo, mas não rompi na ocasião). E fiquei aliviadissima quando vi que ela teve lucidez de desembarcar"
1435695077263806465,@LorenzoDiasR Teve jogo aqui e não alterou em nada os índices da pandemia...fato
1435695068694859780,"Dou por declarado o fim da Pandemia!
Estarei enviando por e-mail o certificado com horas pra ACC e terá extra para aqueles que passaram a Pandemia curtindo a vida como se nada estivesse acontecendo e ainda haverá outro extra para aqueles que continuarem, um cupom para a funerária"
1435695055969337351,Um dos maiores absurdos que vi durante toda a pandemia foi o tratamento dado ao futebol e seus amantes. https://t.co/sLZgbsYyJk
1435695042564329478,"É ... hoje vemos q os brasileiros tem razão d estarem desanimados, exaustos e desacreditados. A maioria no meio político está entendendo q houve crime de responsabilidade... Mas falam em bravatas, serenidades e usam a pandemia pra ñ abrir empitchament. O POVO É QUE ESTÁ ISOLADO."
1435695038433005569,"@nemligaguria_ eu sempre junto isso com não gostar de comemorar. (ano passado eu estava cogitando, ai veio a pandemia... esse ano voltei a ser eu)"
1435694993377841153,"Antes do #ManoAMano eu não escutava podcast desde o pré pandemia, mais um hábito meu que tinha se perdido.

Se o @manobrown lançar um livro, eu volto a ler.
Se o @manobrown lançar um filme, eu volto a ir no cinema.
Se o @manobrown lançar uma chuteira, eu volto até a jogar bola. https://t.co/4S2J7i4YG9"
1435694967914172422,"@IrlanSimoes O VP de FINANÇAS (não do Juridico) já admitiu que fizeram cagada e reajustaram o orçamento. Eles fizeram essa versão em agosto de 20, quando a pandemia tinha desacelerado. Em todo caso, é óbvio que isso é financeiro. Bilheteria é financeiro."
1435694892286623744,Sonho pós pandemia: https://t.co/Jm9r9uL7T6
1435694879288463362,"@FlaRei_1895 - Ninguém tem moral
- Não existe isonomia

Pandemia começou no ano passado. Futebol sem público por conta de uma doença que assola o Planeta Terra eu garanto que ninguém aqui no twitter tinha visto. Vamos equilibrar na balança com algo que vemos quase mensalmente há tipo 20 anos?"
1435694875559743490,"#JR24h, AUGUSTO, JORNALISMO SUJO ANTI DEMOCRÁTICOS É  PRENDER PESSOAS POR OPINIÃO, VCS SÃO  SUJOS RECORDLIXO A SERVIÇO  DO DORIA PAGA C9M DINHEIRO DA PANDEMIA!!!"
1435694861827465219,Já pensou essa cena no meio de uma pandemia? https://t.co/Hp3P8gsa4l
1435694840415666176,"Pandemia fez minha timidez voltar, eu mal consigo mais forçar interação como antes"
1435694829309136900,"@dougsonzer @mfelpsx @pxdrohenri se eu n me engano, foi a pandemia"
1435694805716242437,"@augustosnunes O meu país é sério, o presidente que não é sério neste país, desdenhando da pandemia, desrespeitando o seu povo, negou a vacina no momento oportuno, desrespeita as mulheres, os pobres e acoberta as falcatruas dos filhos e causa baderna e desordem social!"
1435694779656982536,"@venecasagrande Muita falta de respeito com o torcedor que comprou aéreo e hotel pra bsb. ST off Rio só toma na cara! Mesmo sem benefícios, continuei pagando meu plano durante a pandemia, só pra ajudar. Mas, já deu! Vou cancelar! @roddunshee @Flamengo @marcosbrazrio"
1435694775076786179,"Pandemia causa impactos na alfabetização de crianças 
No Brasil,11 milhõesde pessoas são analfabetas. São pessoas de 15 anos ou mais que, pelos critérios do Instituto Brasileiro de Geografia ......
Acesse: https://pordentr...
https://t.co/8kG0pNK1ID"
1435694747348348937,"@sbrasiles @alexandrespinho @nikolas_dm Rapaz, não sei se você sabe, mas também existe médico BURRO e MAU CARÁTER. Tá passada?
Filha, se atualiza, até o próprio Ministério da Saúde admitiu a ineficácia desses remédios no combate à pandemia. Atualiza."
1435694737248473096,"saudades de quando eu ficava fuçando eventos no site do sesc, pandemia maldita"
1435694719552606208,"@LucassDuran Argumento de Criança isso ""Qnd jogos ele decidiu, contra times decente, valendo titulo"", sendo q o cara chegou nao tem nem 1 ano, teve contusão, pausa de pandemia.

Benitez jogou bem 80% dos jogos, tem um passe foda, o time é melhor e mais criativo com ele em campo."
1435694694902681604,"Qual é o desafio para os educadores na alfabetização no pós-pandemia? Conheça iniciativas de formação continuada que vão te ajudar a se preparar para esse processo. Com @ProFuturo_ @FundlaCaixa #paulofreire #paulofreire100anos 
https://t.co/oWbaprLtkH"
1435694665609715712,"Chegando no culto e vendo as irmãs, depois da pandemia 😂

#madonna #madonnafans #madonnafamily #madonnafan https://t.co/zGWdLbv6YR"
1435694641421107200,@betaloe O Calça Apertada adiantou o natal por causa da pandemia da democracia de ontem...
1435694625524695044,"@SuetsuguYuri se estão falando acredite, a mente tem poder uhsauhsa.

Quando acabar a pandemia bora treinar kung-fu comigo ai vai querer sempre ficar sem camisa ashuasuh"
1435694621934424064,"A partir de hoje, você acompanha aqui nas nossas redes, dicas pra melhorar sua saúde👨‍⚕️

Neste primeiro vídeo do ALEPA SAÚDE, o dr. Jorge Vaz fala sobre um assunto importante: como se prevenir contra a COVID-19.😷
  
Assista, compartilhe, vamos vencer juntos a pandemia!📽 https://t.co/b7edrjVt1Z"
1435694606738407424,E meus amigos da graduação que parece umas crianças emocionadas no whatsapp?! Essa pandemia quebrou umas partes de nós que olha
1435694602745417730,"caralho não acredito que estou me submetendo a m mais uma viagem no meio de uma pandemia por ameaças do meu avô dizendo que a pandemia destruiu a vida, que ele vai morrer em breve e que ninguém vai ver ele mais??? isso que é ficar velho????"
1435694579974553601,"@Felipesoouzarj @FoxSportsBrasil Quem quer ajuda? Ficou definido por esse mesmo conselho que vcs não querem ir que o público voltaria quando todos os times pudessem ter público, nesse momento vcs querem ajuda, levar vantagem em cima de tudo, isso sendo do estado com os piores índices na pandemia no momento."
1435694566087266305,meu aniversário de 15 foi na pandemia nem tive que escolher https://t.co/uGUoJacHrs https://t.co/xgn3aQg7BK
1435694562161352710,"@Rafsabot @ElianeBordig @chrisggomes @Rconstantino Cara acabei de te falar que o aumento do dólar tem vários fatores, entre eles risco Brasil, devido endividamento do estado, nessa pandemia aumentamos muito o endividamento, lembra que teve abono covid, vc acha que esse dinheiro saiu de onde ? Inflação é outro fator ..."
1435694553483419650,"Po, o pior que acho que sei flertar ao vivo. Isso ajuda na pandemia? Não. Mas tamo ai."
1435694534206316547,"@ZilaHelena Foi gigante tamanha burrice,defender um verme como esse,gente burra; fazer isso em plena pandemia SEM A PORRA DA MÁSCARA defender o desgraçado do Genocídia"
1435694508038103042,"MERCADO DE FUSÕES E AQUISIÇÕES CRESCE NO PAÍS

Confira no Diário do Comércio
#economia, #minasgerais, #negócios, #comércio, #notícia, #mercado, #fusões, #aquisições, #pandemia

https://t.co/0ZYf0PwzN1"
1435694476006150155,"@MFTwitte @ViniciusPoit Se a ""esquerda"" tivesse deixado o ""serto"" seria: 

1) Não ter negado a pandemia e ter enfrentado ela corretamente. 

2) Ter passado confiança articulando politicamente e publicamente reformas necessárias corretamente

3) Combatido a corrupção"
1435694455982592000,Vou começar a pensar q todo mundo lá em casa são empregados q por conta da Pandemia tem q levar os filhos pra lá
1435694429130657796,"Essa é a primeira vez desde que estourou a pandemia da Covid-19.

Para mais informações, acesse: https://t.co/e8Kb7G1TME

#cn7saude #pandemia #COVID19 #Hospital #pacientes"
1435694428111265794,"O #SetembroAmarelo celebra a atenção pela saúde mental. Em tempos de pandemia, onde tudo mudou, é normal se sentir mais ansioso e preocupado. Aqui no GetNinjas, podemos te ajudar a encontrar um profissional que te acolha e te ajude. 

Quer um psicólogo? Encontre pelo GetNinjas! https://t.co/dF0aWcJ3hm"
1435694420498829315,"@brunogagliasso A inflação é a conta a ser paga pela política do fique em casa, a economia a gente vê depois. Este desequilíbrio na economia já era previsto após a pandemia aqui e em outros países. Ou você acha que tudo voltaria ao normal após paralizações ou produção reduzida? Não à hipocrisia!"
1435694350751645702,@simulatorSM cadê meu cartão que nunca chega??? Já é a segunda vez que faço o requerimento o os Correios dizem que o destinatário está ausente. Ausente como nessa pandemia???? Que descaso
1435694341201309698,"@HanashiroDe Cara tô longe do PC agora encerrando o dia, mas quase certeza que não tem por causa do protocolo da pandemia"
1435694309026766853,EU QUERO A PANDEMIA ACABANDO PORQUE EU MEREÇO IR NO SHOW DO LOUIS
1435694230819807234,"ou quiçá sonhar. Isso não altera o que penso na pandemia. Nada de público em qualquer estádio. A minha opinião. Todo tipo de abertura que faz aglomerar, em qualquer setor, considero precipitada. Creio nos cientistas. Ótima semana plena de saúde e de muita #Paz #Paz #Paz #Paz #Paz"
1435694209374334983,"@talismadagavea Rapaz.. Durante uma pandemia global você está criticando e sendo irônico com os guerreiros na linha de frente do sistema de saúde por conta de um atraso em app?

Tu come bosta, millennial?"
1435694196468371470,"@IrlanSimoes Eu acho massa q ele fala como se só o Flamengo quisesse voltar como público, tomar no cu viu

O ngc é q estamos em uma pandemia e o cara ignora"
1435694177782837256,"@Rodrigomr301 @Ben_Hur_Lopes @roxmo Pesquisadores de YALE e STANFORD!  G1 só deu a notícia, o caramba.
Talvez com esse desenho facilite pra você entender como a máscara ajuda na prevenção.
Substitua calça por máscara e mijo por respiração.
2 anos de pandemia e vc teimando sobre isso. Pelo amor de Deus, haja saco https://t.co/uzp5hED3j8"
