word,PoS,score
grunhir,VB,0
grupar,VB,0
grupar-se,VB,1
guapa,ADJ,1
guapas,ADJ,1
guapo,ADJ,1
guapos,ADJ,1
guardada,ADJ,0
guardadas,ADJ,0
guardado,ADJ,0
guardados,ADJ,0
guardar,VB,0
guardar-se,VB,1
guardear,VB,1
guarnecer,VB,-1
guerrear,VB,0
guerreira,ADJ,0
guerreiras,ADJ,0
guerreiro,ADJ,0
guerreiros,ADJ,0
guia,ADJ,0
guiada,ADJ,0
guiadas,ADJ,0
guiado,ADJ,0
guiados,ADJ,0
guiar,VB,1
guias,ADJ,0
guicha,ADJ,0
guichas,ADJ,0
guicho,ADJ,0
guichos,ADJ,0
guindada,ADJ,-1
guindadas,ADJ,-1
guindado,ADJ,-1
guindados,ADJ,-1
guindar,VB,0
guindar-se,VB,1
gulosa,ADJ,-1
gulosas,ADJ,-1
gulosear,VB,0
guloso,ADJ,-1
gulosos,ADJ,-1
gungunar,VB,0
guterrista,ADJ,0
guterristas,ADJ,0
habeis,ADJ,1
habil,ADJ,1
habilidosa,ADJ,1
habilidosas,ADJ,1
habilidoso,ADJ,1
habilidosos,ADJ,1
habilitada,ADJ,1
habilitadas,ADJ,1
habilitado,ADJ,1
habilitados,ADJ,1
habilitar,VB,1
habitante,ADJ,0
habitantes,ADJ,0
habitar,VB,1
habituada,ADJ,-1
habituadas,ADJ,-1
habituado,ADJ,-1
habituados,ADJ,-1
habituais,ADJ,0
habitual,ADJ,0
habituar,VB,1
habituar-se,VB,1
halogenado,ADJ,1
harmonica,ADJ,1
harmonicas,ADJ,1
harmonico,ADJ,1
harmonicos,ADJ,1
harmoniosa,ADJ,1
harmoniosas,ADJ,1
harmonioso,ADJ,1
harmoniosos,ADJ,1
harmonizar,VB,1
harmonizar-se,VB,1
harta,ADJ,0
hartas,ADJ,0
harto,ADJ,0
hartos,ADJ,0
hastear,VB,0
hastilhar,VB,0
haurir,VB,0
haver,VB,1
haver-se,VB,1
hebraica,ADJ,0
hebraicas,ADJ,0
hebraico,ADJ,0
hebraicos,ADJ,0
hebraizante,ADJ,0
hebraizantes,ADJ,0
hebreu,ADJ,0
hebreus,ADJ,0
hebria,ADJ,0
hebrias,ADJ,0
hedionda,ADJ,-1
hediondas,ADJ,-1
hediondo,ADJ,-1
hediondos,ADJ,-1
hedonista,ADJ,0
hedonistas,ADJ,0
hegeliana,ADJ,0
hegelianas,ADJ,0
hegeliano,ADJ,0
hegelianos,ADJ,0
helenica,ADJ,-1
helenicas,ADJ,-1
helenico,ADJ,-1
helenicos,ADJ,-1
herculea,ADJ,1
herculeas,ADJ,1
herculeo,ADJ,1
herculeos,ADJ,1
herdar,VB,0
herege,ADJ,-1
hereges,ADJ,-1
heretica,ADJ,-1
hereticas,ADJ,-1
heretico,ADJ,-1
hereticos,ADJ,-1
hermafrodita,ADJ,0
hermafroditas,ADJ,0
hermafrodito,ADJ,0
hermafroditos,ADJ,0
hermetica,ADJ,-1
hermeticas,ADJ,-1
hermetico,ADJ,-1
hermeticos,ADJ,-1
herodiana,ADJ,-1
herodianas,ADJ,-1
herodiano,ADJ,-1
herodianos,ADJ,-1
heroica,ADJ,1
heroicas,ADJ,1
heroico,ADJ,1
heroicos,ADJ,1
heroificar,VB,0
heroinomana,ADJ,-1
heroinomanas,ADJ,-1
heroinomano,ADJ,-1
heroinomanos,ADJ,-1
hesitante,ADJ,-1
hesitantes,ADJ,-1
hesitar,VB,1
heteroclita,ADJ,-1
heteroclitas,ADJ,-1
heteroclito,ADJ,-1
heteroclitos,ADJ,-1
heterodoxa,ADJ,-1
heterodoxas,ADJ,-1
heterodoxo,ADJ,-1
heterodoxos,ADJ,-1
heterogenea,ADJ,0
heterogeneas,ADJ,0
heterogeneo,ADJ,0
heterogeneos,ADJ,0
heterossexuais,ADJ,0
heterossexual,ADJ,0
hidratada,ADJ,0
hidratadas,ADJ,0
hidratado,ADJ,0
hidratados,ADJ,0
hidrofoba,ADJ,-1
hidrofobas,ADJ,-1
hidrofobo,ADJ,-1
hidrofobos,ADJ,-1
higido,ADJ,1
higienica,ADJ,1
higienicas,ADJ,1
higienico,ADJ,1
higienicos,ADJ,1
hilare,ADJ,1
hilares,ADJ,1
hilaria,ADJ,1
hilariante,ADJ,0
hilariantes,ADJ,1
hilario,ADJ,1
hilarios,ADJ,1
hillarias,ADJ,1
hindu,ADJ,0
hindus,ADJ,0
hiperactiva,ADJ,0
hiperactivas,ADJ,0
hiperactivo,ADJ,0
hiperactivos,ADJ,0
hiperbolica,ADJ,-1
hiperbolicas,ADJ,-1
hiperbolico,ADJ,-1
hiperbolicos,ADJ,-1
hiperconservador,ADJ,-1
hiperconservadora,ADJ,-1
hiperconservadoras,ADJ,-1
hiperconservadores,ADJ,-1
hipercritica,ADJ,-1
hipercriticas,ADJ,-1
hipercritico,ADJ,-1
hipercriticos,ADJ,-1
hiperculta,ADJ,1
hipercultas,ADJ,1
hiperculto,ADJ,1
hipercultos,ADJ,1
hiperdotada,ADJ,1
hiperdotadas,ADJ,1
hiperdotado,ADJ,1
hiperdotados,ADJ,1
hipersensiveis,ADJ,-1
hipersensivel,ADJ,-1
hipnotica,ADJ,0
hipnoticas,ADJ,0
hipnotico,ADJ,0
hipnoticos,ADJ,0
hipnotizada,ADJ,-1
hipnotizadas,ADJ,-1
hipnotizado,ADJ,-1
hipnotizados,ADJ,-1
hipnotizante,ADJ,1
hipnotizantes,ADJ,1
hipnotizar,VB,1
hipnotizaveis,ADJ,-1
hipnotizavel,ADJ,-1
hipocondriaca,ADJ,-1
hipocondriacas,ADJ,-1
hipocondriaco,ADJ,-1
hipocondriacos,ADJ,-1
hipocrita,ADJ,-1
hipocritas,ADJ,-1
hipotecar,VB,1
hipotetica,ADJ,-1
hipoteticas,ADJ,-1
hipotetico,ADJ,-1
hipoteticos,ADJ,-1
hirsuta,ADJ,-1
hirsutas,ADJ,-1
hirsuto,ADJ,-1
hirsutos,ADJ,-1
hirta,ADJ,0
hirtas,ADJ,0
hirto,ADJ,0
hirtos,ADJ,0
histerica,ADJ,-1
histericas,ADJ,-1
histerico,ADJ,-1
histericos,ADJ,-1
historiar,VB,0
historica,ADJ,0
historicas,ADJ,0
historico,ADJ,0
historicos,ADJ,0
histrionica,ADJ,-1
histrionicas,ADJ,-1
histrionico,ADJ,-1
histrionicos,ADJ,-1
hitchcockianas,ADJ,1
hitchcoquiano,ADJ,1
hodierna,ADJ,1
hodiernas,ADJ,1
hodierno,ADJ,1
hodiernos,ADJ,1
holandes,ADJ,1
hollywoodiana,ADJ,0
hollywoodianas,ADJ,0
hollywoodiano,ADJ,0
hollywoodianos,ADJ,0
homeopatica,ADJ,-1
homeopaticas,ADJ,-1
homeopatico,ADJ,-1
homeopaticos,ADJ,-1
homerica,ADJ,1
homericas,ADJ,1
homerico,ADJ,1
homericos,ADJ,1
homicida,ADJ,-1
homicidas,ADJ,-1
homiziada,ADJ,-1
homiziadas,ADJ,-1
homiziado,ADJ,-1
homiziados,ADJ,-1
homiziar,VB,1
homoerotizada,ADJ,0
homoerotizadas,ADJ,0
homoerotizado,ADJ,0
homoerotizados,ADJ,0
homofobica,ADJ,-1
homofobicas,ADJ,-1
homofobico,ADJ,-1
homofobicos,ADJ,-1
homogenea,ADJ,1
homogeneas,ADJ,1
homogeneizar,VB,1
homogeneo,ADJ,1
homogeneos,ADJ,1
homogenizar,VB,1
homonima,ADJ,0
homonimas,ADJ,0
homonimo,ADJ,0
homonimos,ADJ,0
homosexualizada,ADJ,0
homosexualizado,ADJ,0
homossexuais,ADJ,0
homossexual,ADJ,0
honesta,ADJ,1
honestar,VB,0
honestas,ADJ,1
honestizar,VB,1
honesto,ADJ,1
honestos,ADJ,1
honoraria,ADJ,1
honorarias,ADJ,1
honorario,ADJ,1
honorarios,ADJ,1
honoraveis,ADJ,1
honoravel,ADJ,1
honrada,ADJ,1
honradas,ADJ,1
honrado,ADJ,1
honrados,ADJ,1
honrar,VB,1
honrar-se,VB,0
honrosa,ADJ,1
honrosas,ADJ,1
honroso,ADJ,1
honrosos,ADJ,1
horrenda,ADJ,-1
horrendas,ADJ,-1
horrendo,ADJ,-1
horrendos,ADJ,-1
horrida,ADJ,-1
horridas,ADJ,-1
horrido,ADJ,-1
horridos,ADJ,-1
horrifero,ADJ,-1
horrifica,ADJ,-1
horrificas,ADJ,-1
horrifico,ADJ,-1
horrificos,ADJ,-1
horripilante,ADJ,-1
horripilantes,ADJ,-1
horripilar,VB,1
horripilo,ADJ,-1
horriveis,ADJ,-1
horrivel,ADJ,-1
horrorifico,ADJ,-1
horrorizar,VB,1
horrorosa,ADJ,-1
horrorosas,ADJ,-1
horroroso,ADJ,-1
horrorosos,ADJ,-1
hospedada,ADJ,-1
hospedadas,ADJ,-1
hospedado,ADJ,-1
hospedados,ADJ,-1
hospedar,VB,0
hospede,ADJ,0
hospedeira,ADJ,1
hospedeiras,ADJ,1
hospedeiro,ADJ,1
hospedeiros,ADJ,1
hospedes,ADJ,-1
hospitaleira,ADJ,1
hospitaleiras,ADJ,1
hospitaleiro,ADJ,1
hospitaleiros,ADJ,1
hostil,ADJ,-1
hostilizar,VB,1
hostis,ADJ,-1
humana,ADJ,1
humanal,ADJ,1
humanas,ADJ,1
humanista,ADJ,0
humanistas,ADJ,0
humanitaria,ADJ,1
humanitarias,ADJ,1
humanitario,ADJ,1
humanitarios,ADJ,1
humano,ADJ,1
humanos,ADJ,1
humildar,VB,0
humilde,ADJ,0
humildes,ADJ,0
humildoso,ADJ,-1
humilhada,ADJ,-1
humilhadas,ADJ,-1
humilhado,ADJ,-1
humilhados,ADJ,-1
humilhar,VB,0
humlhar,VB,-1
humorada,ADJ,1
humoradas,ADJ,1
humorado,ADJ,1
humorados,ADJ,1
humorista,ADJ,-1
humoristas,ADJ,-1
humorosa,ADJ,-1
humorosas,ADJ,-1
humoroso,ADJ,-1
humorosos,ADJ,-1
hungaras,ADJ,1
icada,ADJ,-1
icadas,ADJ,-1
icado,ADJ,-1
icados,ADJ,-1
icar,VB,0
iconica,ADJ,1
iconicas,ADJ,1
iconico,ADJ,1
iconicos,ADJ,1
ictiofaga,ADJ,0
ictiofagas,ADJ,0
ictiofago,ADJ,0
ictiofagos,ADJ,0
ideais,ADJ,0
ideal,ADJ,0
idealista,ADJ,1
idealistas,ADJ,1
idealizacao,ADJ,1
idealizada,ADJ,-1
idealizadas,ADJ,-1
idealizado,ADJ,-1
idealizados,ADJ,-1
idealizar,VB,0
idear,VB,1
identica,ADJ,0
identicas,ADJ,0
identico,ADJ,0
identicos,ADJ,0
identificar,VB,0
identificar-se,VB,1
ideologico,ADJ,1
idilica,ADJ,0
idilicas,ADJ,0
idilico,ADJ,0
idilicos,ADJ,0
idiossincratico,ADJ,1
idiota,ADJ,-1
idiotar,VB,1
idiotas,ADJ,-1
idolatra,ADJ,0
idolatrada,ADJ,1
idolatradas,ADJ,1
idolatrado,ADJ,1
idolatrados,ADJ,1
idolatrar,VB,1
idolatras,ADJ,0
idonea,ADJ,1
idoneas,ADJ,1
idoneo,ADJ,1
idoneos,ADJ,1
idosa,ADJ,0
idosas,ADJ,0
idoso,ADJ,0
idosos,ADJ,0
ignara,ADJ,-1
ignaras,ADJ,-1
ignaro,ADJ,-1
ignaros,ADJ,-1
ignavo,ADJ,-1
ignificar,VB,0
ignificar-se,VB,1
ignobeis,ADJ,-1
ignobil,ADJ,-1
ignominiar,VB,1
ignominiosa,ADJ,-1
ignominiosas,ADJ,-1
ignominioso,ADJ,-1
ignominiosos,ADJ,-1
ignorada,ADJ,-1
ignoradas,ADJ,-1
ignorado,ADJ,-1
ignorados,ADJ,-1
ignorante,ADJ,-1
ignorantes,ADJ,-1
ignota,ADJ,-1
ignotas,ADJ,-1
ignoto,ADJ,-1
ignotos,ADJ,-1
iguais,ADJ,0
igual,ADJ,0
igualar,VB,1
igualar-se,VB,1
igualitaria,ADJ,0
igualitarias,ADJ,0
igualitario,ADJ,0
igualitarios,ADJ,0
igualizar,VB,1
igualizar-se,VB,1
igualzinha,ADJ,0
igualzinhas,ADJ,0
igualzinho,ADJ,0
igualzinhos,ADJ,0
ilaquear,VB,0
ilegais,ADJ,-1
ilegal,ADJ,-1
ilegalizar,VB,1
ilegitima,ADJ,-1
ilegitimar,VB,1
ilegitimas,ADJ,-1
ilegitimo,ADJ,-1
ilegitimos,ADJ,-1
ilegiveis,ADJ,-1
ilegivel,ADJ,-1
ilesa,ADJ,1
ilesas,ADJ,1
ileso,ADJ,1
ilesos,ADJ,1
iletrada,ADJ,-1
iletradas,ADJ,-1
iletrado,ADJ,-1
iletrados,ADJ,-1
ilhada,ADJ,-1
ilhadas,ADJ,-1
ilhado,ADJ,-1
ilhados,ADJ,-1
ilibada,ADJ,1
ilibadas,ADJ,1
ilibado,ADJ,1
ilibados,ADJ,1
ilibar,VB,-1
iliberais,ADJ,-1
iliberal,ADJ,-1
ilidir,VB,1
iligar,VB,0
iliterata,ADJ,-1
iliteratas,ADJ,-1
iliterato,ADJ,-1
iliteratos,ADJ,-1
ilogica,ADJ,-1
ilogicas,ADJ,-1
ilogico,ADJ,-1
ilogicos,ADJ,-1
iludida,ADJ,-1
iludidas,ADJ,-1
iludido,ADJ,-1
iludidos,ADJ,-1
iludir,VB,0
iluminada,ADJ,1
iluminadas,ADJ,1
iluminado,ADJ,1
iluminados,ADJ,1
iluminar,VB,0
iluminar-se,VB,1
iluminista,ADJ,0
iluministas,ADJ,0
ilusionista,ADJ,1
ilusivo,ADJ,1
ilusoria,ADJ,1
ilusorias,ADJ,-1
ilusorio,ADJ,-1
ilusorios,ADJ,-1
ilustrada,ADJ,1
ilustradas,ADJ,1
ilustrado,ADJ,1
ilustrados,ADJ,1
ilustrar,VB,-1
ilustrativa,ADJ,0
ilustrativas,ADJ,0
ilustrativo,ADJ,0
ilustrativos,ADJ,0
ilustre,ADJ,1
ilustres,ADJ,1
imaculada,ADJ,1
imaculadas,ADJ,1
imaculado,ADJ,1
imaculados,ADJ,1
imaculaveis,ADJ,0
imaculavel,ADJ,0
imagetica,ADJ,1
imageticas,ADJ,1
imagetico,ADJ,1
imageticos,ADJ,1
imaginacao,ADJ,1
imaginada,ADJ,-1
imaginadas,ADJ,-1
imaginado,ADJ,-1
imaginados,ADJ,-1
imaginar,VB,0
imaginaria,ADJ,0
imaginarias,ADJ,0
imaginario,ADJ,0
imaginarios,ADJ,0
imaginativa,ADJ,0
imaginativas,ADJ,1
imaginativo,ADJ,0
imaginativos,ADJ,0
imagineiro,ADJ,1
imaginosa,ADJ,0
imaginosas,ADJ,0
imaginoso,ADJ,0
imaginosos,ADJ,0
imanente,ADJ,1
imanentes,ADJ,1
imantada,ADJ,1
imantadas,ADJ,1
imantado,ADJ,1
imantados,ADJ,1
imateriais,ADJ,0
imaterial,ADJ,0
imatura,ADJ,-1
imaturas,ADJ,-1
imaturo,ADJ,-1
imaturos,ADJ,-1
imbativeis,ADJ,1
imbativel,ADJ,1
imbecil,ADJ,-1
imbeciloide,ADJ,1
imbecis,ADJ,-1
imberbe,ADJ,0
imberbes,ADJ,0
imbicar,VB,1
imbramar,VB,1
imbuida,ADJ,0
imbuidas,ADJ,0
imbuido,ADJ,0
imbuidos,ADJ,0
imbuir,VB,0
imcompreendido,ADJ,-1
imcompreensivel,ADJ,-1
imediata,ADJ,1
imediatas,ADJ,1
imediatista,ADJ,0
imediatistas,ADJ,0
imediato,ADJ,1
imediatos,ADJ,1
imensa,ADJ,1
imensas,ADJ,1
imenso,ADJ,1
imensos,ADJ,1
imerecida,ADJ,-1
imerecidas,ADJ,-1
imerecido,ADJ,-1
imerecidos,ADJ,-1
imergida,ADJ,0
imergidas,ADJ,0
imergido,ADJ,0
imergidos,ADJ,0
imergir,VB,0
imersa,ADJ,-1
imersas,ADJ,-1
imerso,ADJ,-1
imersos,ADJ,-1
imigrantes,ADJ,1
imigrar,VB,1
iminente,ADJ,0
iminentes,ADJ,0
imisericordiosa,ADJ,-1
imisericordiosas,ADJ,-1
imisericordioso,ADJ,-1
imisericordiosos,ADJ,-1
imitada,ADJ,-1
imitadas,ADJ,-1
imitado,ADJ,-1
imitador,ADJ,0
imitadora,ADJ,0
imitadoras,ADJ,0
imitadores,ADJ,0
imitados,ADJ,-1
imitar,VB,0
imitativa,ADJ,0
imitativas,ADJ,0
imitativo,ADJ,0
imitativos,ADJ,0
imitir-se,VB,1
imobilizada,ADJ,0
imobilizadas,ADJ,0
imobilizado,ADJ,0
imobilizados,ADJ,0
imobilizar,VB,0
imoderada,ADJ,-1
imoderadas,ADJ,-1
imoderado,ADJ,-1
imoderados,ADJ,-1
imodesta,ADJ,-1
imodestas,ADJ,-1
imodesto,ADJ,-1
imodestos,ADJ,-1
imodico,ADJ,1
imolada,ADJ,1
imoladas,ADJ,1
imolado,ADJ,1
imolados,ADJ,1
imolar,VB,1
imorais,ADJ,-1
imoral,ADJ,-1
imorigerada,ADJ,-1
imorigeradas,ADJ,-1
imorigerado,ADJ,-1
imorigerados,ADJ,-1
imortais,ADJ,1
imortal,ADJ,1
imortalizada,ADJ,1
imortalizadas,ADJ,1
imortalizado,ADJ,1
imortalizados,ADJ,1
imotar,VB,1
imoveis,ADJ,0
imovel,ADJ,1
impacientar,VB,-1
impaciente,ADJ,-1
impacientes,ADJ,-1
impacta,ADJ,-1
impactante,ADJ,1
impactantes,ADJ,1
impactar,ADJ,1
impactas,ADJ,-1
impacto,ADJ,-1
impactos,ADJ,-1
impagaveis,ADJ,1
impagavel,ADJ,1
impante,ADJ,0
impantes,ADJ,0
impar,VB,1
imparaveis,ADJ,0
imparavel,ADJ,0
imparciais,ADJ,0
imparcial,ADJ,0
impares,ADJ,1
impassiveis,ADJ,0
impassivel,ADJ,0
impatriota,ADJ,-1
impatriotas,ADJ,-1
impavida,ADJ,1
impavida e serena,ADJ,0
impavidas,ADJ,1
impavidas e serenas,ADJ,0
impavido,ADJ,1
impavido e sereno,ADJ,0
impavidos,ADJ,1
impavidos e serenos,ADJ,0
impecaveis,ADJ,1
impecavel,ADJ,1
impecuniosa,ADJ,-1
impecuniosas,ADJ,-1
impecunioso,ADJ,-1
impecuniosos,ADJ,-1
impedida,ADJ,0
impedidas,ADJ,0
impedido,ADJ,0
impedidos,ADJ,0
impedir,VB,-1
impelida,ADJ,-1
impelidas,ADJ,-1
impelido,ADJ,-1
impelidos,ADJ,-1
impelir,VB,0
impender,VB,0
impenetraveis,ADJ,-1
impenetravel,ADJ,-1
impenitente,ADJ,-1
impenitentes,ADJ,-1
impensado,ADJ,-1
imperar,VB,1
imperativa,ADJ,-1
imperativas,ADJ,-1
imperativo,ADJ,-1
imperativos,ADJ,-1
imperceptiveis,ADJ,0
imperceptivel,ADJ,0
imperdiveis,ADJ,1
imperdivel,ADJ,1
imperdoaveis,ADJ,-1
imperdoavel,ADJ,-1
imperfectibilidade,ADJ,-1
imperfeita,ADJ,-1
imperfeitas,ADJ,-1
imperfeito,ADJ,-1
imperfeitos,ADJ,-1
imperiais,ADJ,-1
imperial,ADJ,-1
imperialista,ADJ,-1
imperialistas,ADJ,-1
imperiosa,ADJ,-1
imperiosas,ADJ,-1
imperioso,ADJ,-1
imperiosos,ADJ,-1
imperita,ADJ,-1
imperitas,ADJ,-1
imperito,ADJ,-1
imperitos,ADJ,-1
impermanente,ADJ,-1
impermanentes,ADJ,-1
imperscrutaveis,ADJ,-1
imperscrutavel,ADJ,-1
imperterrita,ADJ,1
imperterritas,ADJ,1
imperterrito,ADJ,1
imperterritos,ADJ,1
impertinente,ADJ,-1
impertinentes,ADJ,-1
imperturbada,ADJ,1
imperturbadas,ADJ,1
imperturbado,ADJ,1
imperturbados,ADJ,1
imperturbaveis,ADJ,1
imperturbavel,ADJ,1
impervio,ADJ,-1
impessoais,ADJ,-1
impessoal,ADJ,1
impetar,VB,1
impeticar,VB,-1
impetrar,VB,1
impetuosa,ADJ,-1
impetuosas,ADJ,-1
impetuoso,ADJ,-1
impetuosos,ADJ,-1
impia,ADJ,-1
impias,ADJ,-1
impiedosa,ADJ,-1
impiedosas,ADJ,-1
impiedoso,ADJ,-1
impiedosos,ADJ,-1
impingir,VB,0
impio,ADJ,-1
impios,ADJ,-1
implacaveis,ADJ,-1
implacavel,ADJ,-1
implantada,ADJ,0
implantadas,ADJ,0
implantado,ADJ,0
implantados,ADJ,0
implantar,VB,1
implicada,ADJ,0
implicadas,ADJ,0
implicado,ADJ,0
implicados,ADJ,0
implicante,ADJ,-1
implicantes,ADJ,-1
implicar,VB,0
implicar-se,VB,1
implicativa,ADJ,-1
implicativas,ADJ,-1
implicativo,ADJ,-1
implicativos,ADJ,-1
implicita,ADJ,-1
implicitas,ADJ,-1
implicito,ADJ,-1
implicitos,ADJ,-1
implodir,VB,0
implorante,ADJ,0
implorantes,ADJ,0
implorar,VB,1
implorativa,ADJ,0
implorativas,ADJ,0
implorativo,ADJ,0
implorativos,ADJ,0
impolido,ADJ,-1
impoluta,ADJ,1
impolutas,ADJ,1
impoluto,ADJ,1
impolutos,ADJ,1
imponderada,ADJ,-1
imponderadas,ADJ,-1
imponderado,ADJ,-1
imponderados,ADJ,-1
imponente,ADJ,1
imponentes,ADJ,1
impontuais,ADJ,-1
impontual,ADJ,-1
impopular,ADJ,-1
impopulares,ADJ,-1
impor,VB,1
importante,ADJ,1
importantes,ADJ,1
importantissima,ADJ,1
importantissimas,ADJ,1
importantissimo,ADJ,1
importantissimos,ADJ,1
importar,VB,1
importuna,ADJ,-1
importunada,ADJ,-1
importunadas,ADJ,-1
importunado,ADJ,-1
importunador,ADJ,-1
importunados,ADJ,-1
importunar,VB,-1
importunar-se,VB,1
importunas,ADJ,-1
importuno,ADJ,-1
importunos,ADJ,-1
impossibilitar,VB,1
impossiveis,ADJ,-1
impossivel,ADJ,-1
imposta,ADJ,-1
impostas,ADJ,-1
imposto,ADJ,-1
impostor,ADJ,-1
impostora,ADJ,-1
impostoras,ADJ,-1
impostores,ADJ,-1
impostos,ADJ,-1
impotente,ADJ,-1
impotentes,ADJ,-1
imprecar,VB,1
imprecisa,ADJ,-1
imprecisas,ADJ,-1
impreciso,ADJ,-1
imprecisos,ADJ,-1
impregnada,ADJ,-1
impregnadas,ADJ,-1
impregnado,ADJ,-1
impregnados,ADJ,-1
impregnar,VB,0
imprensar,VB,-1
impressa,ADJ,0
impressas,ADJ,0
impressionada,ADJ,0
impressionadas,ADJ,0
impressionado,ADJ,0
impressionados,ADJ,0
impressionante,ADJ,1
impressionantes,ADJ,1
impressionar,VB,-1
impressionaveis,ADJ,0
impressionavel,ADJ,0
impressionista,ADJ,0
impressionistas,ADJ,0
impresso,ADJ,0
impressos,ADJ,0
imprestabilizar,VB,1
imprestaveis,ADJ,-1
imprestavel,ADJ,-1
imprevidente,ADJ,-1
imprevidentes,ADJ,-1
imprevisiveis,ADJ,0
imprevisivel,ADJ,0
imprevisto,ADJ,-1
imprimir,VB,-1
improbar,VB,1
improbo,ADJ,-1
improcedente,ADJ,-1
improcedentes,ADJ,-1
improducente,ADJ,-1
improducentes,ADJ,-1
improdutiva,ADJ,-1
improdutivas,ADJ,-1
improdutivo,ADJ,-1
improdutivos,ADJ,-1
improficiente,ADJ,-1
improficuo,ADJ,-1
improlifero,ADJ,-1
improlifico,ADJ,-1
improperar,VB,1
impropicio,ADJ,-1
improspero,ADJ,-1
improvar,VB,1
improvaveis,ADJ,1
improvavel,ADJ,-1
improvisada,ADJ,-1
improvisadas,ADJ,-1
improvisado,ADJ,-1
improvisador,ADJ,0
improvisadora,ADJ,0
improvisadoras,ADJ,0
improvisadores,ADJ,0
improvisados,ADJ,-1
improviso,ADJ,-1
imprudente,ADJ,-1
imprudentes,ADJ,-1
impubere,ADJ,0
impuberes,ADJ,0
impudente,ADJ,-1
impudentes,ADJ,-1
impudica,ADJ,-1
impudicas,ADJ,-1
impudico,ADJ,-1
impudicos,ADJ,-1
impugnada,ADJ,-1
impugnadas,ADJ,-1
impugnado,ADJ,-1
impugnados,ADJ,-1
impulsar,VB,0
impulsionada,ADJ,-1
impulsionadas,ADJ,-1
impulsionado,ADJ,-1
impulsionados,ADJ,-1
impulsionar,VB,0
impulsiva,ADJ,-1
impulsivas,ADJ,-1
impulsivo,ADJ,-1
impulsivos,ADJ,-1
impura,ADJ,-1
impuras,ADJ,-1
impurificar,VB,1
impuro,ADJ,-1
impuros,ADJ,-1
imputada,ADJ,-1
imputadas,ADJ,-1
imputado,ADJ,-1
imputados,ADJ,-1
imputar,VB,0
imunda,ADJ,-1
imundas,ADJ,-1
imundo,ADJ,-1
imundos,ADJ,-1
imune,ADJ,-1
imunes,ADJ,-1
imutar,VB,0
imutar-se,VB,0
imutaveis,ADJ,0
imutavel,ADJ,0
inabalaveis,ADJ,0
inabalavel,ADJ,0
inabeis,ADJ,-1
inabil,ADJ,-1
inabitada,ADJ,-1
inabitadas,ADJ,-1
inabitado,ADJ,-1
inabitados,ADJ,-1
inabordaveis,ADJ,-1
inabordavel,ADJ,-1
inacabada,ADJ,-1
inacabadas,ADJ,-1
inacabado,ADJ,-1
inacabados,ADJ,-1
inaceitaveis,ADJ,-1
inaceitavel,ADJ,-1
inacessiveis,ADJ,-1
inacessivel,ADJ,-1
inacreditaveis,ADJ,0
inacreditavel,ADJ,0
inactiva,ADJ,-1
inactivas,ADJ,-1
inactivo,ADJ,-1
inactivos,ADJ,-1
inadaptada,ADJ,-1
inadaptadas,ADJ,-1
inadaptado,ADJ,-1
inadaptados,ADJ,-1
inadequada,ADJ,-1
inadequadas,ADJ,-1
inadequado,ADJ,-1
inadequados,ADJ,-1
inadiaveis,ADJ,-1
inadiavel,ADJ,-1
inadmissiveis,ADJ,-1
inadmissivel,ADJ,-1
inalar,VB,1
inalcancaveis,ADJ,-1
inalcancavel,ADJ,-1
inalterada,ADJ,0
inalteradas,ADJ,0
inalterado,ADJ,0
inalterados,ADJ,0
inalteraveis,ADJ,1
inalteravel,ADJ,1
inamavel,ADJ,-1
inamoviveis,ADJ,-1
inamovivel,ADJ,-1
inanimada,ADJ,-1
inanimadas,ADJ,-1
inanimado,ADJ,-1
inanimados,ADJ,-1
inanime,ADJ,-1
inanimes,ADJ,-1
inapagaveis,ADJ,0
inapagavel,ADJ,0
inaplicada,ADJ,-1
inaplicadas,ADJ,-1
inaplicado,ADJ,-1
inaplicados,ADJ,-1
inapreciaveis,ADJ,-1
inapreciavel,ADJ,-1
inapresentaveis,ADJ,-1
inapresentavel,ADJ,-1
inapropriada,ADJ,-1
inapropriadas,ADJ,-1
inapropriado,ADJ,-1
inapropriados,ADJ,-1
inapta,ADJ,-1
inaptas,ADJ,-1
inapto,ADJ,-1
inaptos,ADJ,-1
inata,ADJ,0
inatacaveis,ADJ,1
inatacavel,ADJ,1
inatas,ADJ,0
inatingiveis,ADJ,-1
inatingivel,ADJ,-1
inativa,ADJ,-1
inativas,ADJ,-1
inativo,ADJ,-1
inativos,ADJ,-1
inato,ADJ,0
inatos,ADJ,0
inaturavel,ADJ,-1
inaudita,ADJ,1
inauditas,ADJ,1
inaudito,ADJ,1
inauditos,ADJ,1
inautentica,ADJ,-1
inautenticas,ADJ,-1
inautentico,ADJ,-1
inautenticos,ADJ,-1
incandescente,ADJ,-1
incandescentes,ADJ,-1
incandescer,VB,0
incansaveis,ADJ,1
incansavel,ADJ,1
incapaz,ADJ,-1
incapazes,ADJ,-1
incar,VB,0
incaracteristica,ADJ,-1
incaracteristicas,ADJ,-1
incaracteristico,ADJ,-1
incaracteristicos,ADJ,-1
incauta,ADJ,-1
incautas,ADJ,-1
incauto,ADJ,-1
incautos,ADJ,-1
incender,VB,1
incender-se,VB,1
incendiada,ADJ,-1
incendiadas,ADJ,-1
incendiado,ADJ,-1
