word,PoS,score
#guardomagoa,HTAG,1
#guicostnn,HTAG,-1
#harrypobre,HTAG,1
#hi5,HTAG,1
#historia,HTAG,-1
#horacerta,HTAG,-1
#hotmail,HTAG,-1
#html5,HTAG,1
#humornegro,HTAG,1
#icwd,HTAG,1
#ie,HTAG,1
#ifce,HTAG,-1
#ifdesenvolve,HTAG,-1
#imagens,HTAG,1
#infancia,HTAG,1
#infografia,HTAG,1
#inlove,HTAG,1
#insensatos2,HTAG,-1
#internetbanking,HTAG,-1
#interpolnobrasil,HTAG,-1
#intersystem,HTAG,-1
#intimatelybeckham,HTAG,1
#ios5,HTAG,1
#itau,HTAG,-1
#j,HTAG,-1
#jam,HTAG,-1
#jantar,HTAG,1
#jaspion,HTAG,1
#jesse,HTAG,1
#jim,HTAG,1
#joomla,HTAG,-1
#josatan,HTAG,1
#juevesfeliz,HTAG,1
#jumbo,HTAG,1
#kevin,HTAG,-1
#lance,HTAG,1
#le,HTAG,1
#leticia,HTAG,-1
#lifebuoy,HTAG,-1
#lindo,HTAG,1
#linux,HTAG,1
#lion,HTAG,1
#lixo,HTAG,-1
#lixofonica,HTAG,-1
#lol,HTAG,-1
#looser,HTAG,1
#luansantana,HTAG,-1
#lucasednir,HTAG,-1
#mac,HTAG,-1
#maconha,HTAG,-1
#madvma,HTAG,-1
#magazineluiza,HTAG,-1
#magnocentro,HTAG,-1
#malha,HTAG,-1
#manaus,HTAG,1
#mariabethania,HTAG,-1
#marisa,HTAG,-1
#may,HTAG,-1
#mecaga,HTAG,-1
#megalagana,HTAG,1
#megasena,HTAG,1
#melhores,HTAG,1
#melissa,HTAG,-1
#melissahorn,HTAG,1
#memolesta,HTAG,-1
#metrosp,HTAG,-1
#meuchapeu,HTAG,-1
#meusonho,HTAG,-1
#microsoft,HTAG,-1
#mimimi,HTAG,1
#mobile,HTAG,-1
#mockery,HTAG,1
#mockito,HTAG,1
#monografia,HTAG,-1
#montanagrill,HTAG,1
#monterrey,HTAG,-1
#morto,HTAG,-1
#motos,HTAG,-1
#movies,HTAG,1
#msn,HTAG,-1
#mueremalditodesgraciado,HTAG,-1
#myhero,HTAG,1
#nameyourpeniswithamovie,HTAG,1
#naomais,HTAG,-1
#nata,HTAG,-1
#nervoso,HTAG,1
#net,HTAG,-1
#netcombo,HTAG,-1
#neymarcaicai,HTAG,1
#nhlnaespn,HTAG,-1
#nomamar,HTAG,-1
#not,HTAG,-1
